count,ax,ay,az,gx,gy,gz
156,2076,-540,18516,-815,-13255,-232
157,2332,-364,17992,-1064,-13477,-255
158,2884,-508,18204,-988,-13439,-316
159,4068,-136,18788,-844,-13438,-470
160,4372,-464,18168,-691,-13358,-858
161,4588,-1472,17084,-611,-13105,-1594
162,5568,416,16660,-1145,-11940,-1975
163,6240,-232,17020,-565,-9736,-120
164,7476,-676,18760,-553,-9369,-220
165,7836,-728,17492,-821,-7468,-589
166,7632,-536,16944,-908,-5291,-415
167,8012,-260,18144,-895,-3782,-195
168,8096,72,17628,-976,-2061,-161
169,7944,-312,17592,-630,-408,-107
170,7724,-840,17236,-592,793,-76
171,7708,-644,17472,-772,2054,-90
172,7268,-704,17480,-745,3017,-14
173,6668,-636,17828,-805,4096,68
174,6712,-460,18024,-833,4843,42
175,6564,-444,18040,-875,5695,42
176,6252,-408,17868,-889,6484,59
177,5972,-484,17880,-858,7059,119
178,5808,-496,17800,-822,7672,189
179,5524,-400,18100,-912,8298,238
180,5212,-560,18192,-854,8803,276
181,4808,-640,17936,-740,9188,368
182,4528,-488,17888,-656,9430,479
183,4256,-532,18252,-583,9555,643
184,3744,-252,18488,-671,9595,873
185,1588,-100,17652,-444,9318,982
186,5676,-560,20112,-520,10359,1041
187,2276,-432,17744,-841,10423,294
188,2020,-628,18460,-735,10214,0
189,2524,-548,18852,-778,10791,92
190,2928,-344,18784,-689,10623,85
191,1996,-652,18012,-577,10634,172
192,1904,-364,18440,-660,10910,126
193,1672,-56,18640,-491,10894,98
194,1524,-536,18268,-398,10994,27
195,1172,-720,18156,-598,11315,-53
196,936,388,19292,-732,11483,-25
197,568,-656,18532,-604,11454,57
198,468,-536,18456,-592,11578,42
199,-120,-204,18508,-580,11781,142
200,-668,-284,18280,-547,12001,347
201,-980,-220,17984,-432,12145,542
202,-1348,-1288,17744,-289,12524,587
203,2084,-1976,20228,90,11578,-1036
204,-3348,-1436,17300,87,11583,-1633
205,-3876,-1244,18912,-376,10364,-940
206,-2708,92,17064,-939,9061,-754
207,-3084,-216,17960,-52,8778,-1362
208,-3984,2888,17956,-1116,6323,-947
209,-2056,4140,22088,-2196,5038,-379
210,-2336,1964,18236,-171,3718,336
211,-5772,-1164,19188,200,1894,269
212,-5612,-300,18556,-1050,570,-316
213,-4288,-392,19372,-1273,-760,-153
214,-5008,-136,18236,-1027,-2759,-58
215,-5008,-296,18348,-1078,-4054,-164
216,-4228,-20,18648,-1175,-5555,-80
217,-3968,-372,18452,-1016,-6421,-103
218,-3764,-444,18540,-961,-7788,-179
219,-3332,-440,18684,-1016,-8636,-160
220,-2660,-388,18576,-1196,-9807,-57
221,-2712,-340,18428,-1277,-10786,64
222,-2240,-268,18228,-1083,-11808,264
223,-1508,-368,18328,-1126,-12597,489
224,-812,-308,18452,-1033,-13389,771
225,-1796,-1540,18020,-842,-13610,857
226,-4,2704,19708,-1489,-12578,474
227,-1144,-2092,17932,-635,-14759,-28
228,-592,-692,18108,-1405,-14505,-477
229,1764,112,18544,-1328,-14596,-377
230,1260,-360,18244,-784,-15251,-98
231,2380,-428,18724,-980,-15259,-100
232,2076,-844,18328,-1122,-15300,-102
233,3004,-480,18372,-905,-15332,-73
234,3580,-412,18480,-806,-15127,-269
235,4544,-360,17856,-843,-14555,-454
236,6140,-16,17660,-745,-13967,-1038
237,7348,-548,17120,-911,-13271,-1665
238,9916,-1716,17992,-1594,-11683,-2060
239,6476,-1132,16704,-1058,-7908,-62
240,8772,-440,18884,-707,-7536,-276
241,8588,-728,17504,-592,-5056,-579
242,7596,-564,17188,-924,-2605,-464
243,8180,-172,17872,-1205,-1496,-451
244,8044,-108,17700,-866,404,-184
245,7256,-492,17528,-497,1661,91
246,6960,-692,17348,-546,2571,51
247,7032,-704,17664,-647,3537,-27
248,6680,-656,18132,-880,4263,-87
249,6284,-564,18084,-965,4855,-108
